City_ID,City,Lat,Lng,Max Temp(C),Humidity(%),Cloudiness(%),Wind Speed(mph),Country,Date
514,dharampuri,22.1667,75.35,21.99000000000001,69,9,3.83,IN,1702004656
515,kansanshi,-12.0951,26.4273,15.720000000000027,93,70,0.35,ZM,1702004498
516,hanceville,34.0607,-86.7675,9.189999999999998,62,100,1.96,US,1702004657
517,gavrilov-yam,57.3018,39.8533,-16.089999999999975,100,60,1.86,RU,1702004658
518,pamanukan,-6.2842,107.8106,30.25,63,99,1.24,ID,1702004658
519,blenheim,-41.516,173.9528,19.180000000000007,64,53,2.24,NZ,1702004473
520,laojunmiao,39.8333,97.7333,0.8000000000000114,28,2,1.58,CN,1702004659
521,curvelo,-18.7564,-44.4308,24.07000000000005,50,4,0.92,BR,1702004659
522,darab,28.7519,54.5444,12.590000000000032,32,0,1.75,IR,1702004660
523,rzepin,52.3464,14.8323,0.660000000000025,93,100,2.98,PL,1702004660
524,mancio lima,-7.6142,-72.8958,25.04000000000002,94,0,0.0,BR,1702004661
525,long beach,33.767,-118.1892,17.420000000000016,81,0,2.57,US,1702004553
526,chos malal,-37.3781,-70.2709,22.07000000000005,25,0,0.9,AR,1702004661
527,odienne,9.51,-7.5692,22.480000000000018,46,2,0.92,CI,1702004661
528,linhai,28.85,121.1167,16.629999999999995,44,23,1.58,CN,1702004662
529,valparaiso,-33.0393,-71.6273,11.800000000000011,93,40,1.03,CL,1702004635
530,aoulef,26.9667,1.0833,17.480000000000018,34,95,4.17,DZ,1702004662
531,amga,60.8953,131.9608,-31.599999999999966,95,100,2.39,RU,1702004663
532,quincy,42.2529,-71.0023,-1.1099999999999568,70,3,2.07,US,1702004497
533,winnemucca,40.973,-117.7357,3.0300000000000296,70,40,6.69,US,1702004646
534,khanpur mahar,27.8436,69.4137,17.80000000000001,27,0,1.63,PK,1702004663
535,bhalki,18.0333,77.2167,20.03000000000003,79,31,2.87,IN,1702004664
536,kharabali,47.4196,47.2568,-3.659999999999968,73,76,6.72,RU,1702004664
537,holualoa,19.6228,-155.9522,25.910000000000025,70,75,5.14,US,1702004664
538,saint-francois,46.4154,3.9054,7.580000000000041,94,100,3.09,FR,1702004664
